ANALY_ITEM,UNIT_TYPE
半乳糖,g
甘胺酸(Gly),mg
甲硫胺酸(Met),mg
白胺酸(Leu),mg
次亞麻油酸(18:3),mg
灰分,g
肉豆蔻烯酸(14:1),mg
肉豆蔻酸(14:0),mg
色胺酸(Trp),mg
辛酸(8:0),mg
乳糖,g
亞麻油酸(18:2),mg
其他脂肪酸,mg
果糖,g
油酸(18:1),mg
花生油酸(20:4),mg
花生酸(20:0),mg
芥子酸(22:1),mg
癸酸(10:0),mg
苯丙胺酸(Phe),mg
修正熱量,kcal
胱胺酸(Cys),mg
脂肪酸M總量,mg
脂肪酸P總量,mg
脂肪酸S總量,mg
酒精含量,g
異白胺酸(Ile),mg
粗脂肪,g
粗蛋白,g
組胺酸(His),mg
脯胺酸(Pro),mg
麥芽糖,g
棕櫚烯酸(16:1),mg
棕櫚酸(16:0),mg
硬脂酸(18:0),mg
絲胺酸(Ser),mg
菸鹼素,mg
視網醇,ug
視網醇當量(RE),ug
酥胺酸(Thr),mg
鈣,mg
鈉,mg
葉酸,ug
葡萄糖,g
酪胺酸(Tyr),mg
酪酸(4:0),mg
鉀,mg
飽和脂肪,g
精胺酸(Arg),mg
維生素A總量(IU),I.U.
維生素B1,mg
維生素B12,ug
維生素B2,mg
維生素B6,mg
維生素C,mg
維生素D2,ug
維生素D3,ug
維生素D總量(IU),I.U.
維生素D總量(ug),ug
維生素E總量,mg
維生素K1,ug
維生素K2(MK-4),ug
維生素K2(MK-7),ug
銅,mg
熱量,kcal
蔗糖,g
鋅,mg
麩胺酸(Glu),mg
糖質總量,g
膳食纖維,g
錳,mg
磷,mg
總碳水化合物,g
膽固醇,mg
鎂,mg
離胺酸(Lys),mg
鐵,mg
纈胺酸(Val),mg
鱈烯酸(20:1),mg
P/M/S,NA
α-生育酚,mg
α-胡蘿蔔素,ug
α-維生素E當量(α-TE),mg
β-生育酚,mg
β-胡蘿蔔素,ug
γ-生育酚,mg
δ-生育酚,mg
十七酸(17:0),mg
十九酸(19:0),mg
十八碳四烯酸(18:4),mg
十三酸(13:0),mg
十五酸(15:0),mg
山酸(22:0),mg
己酸(6:0),mg
反式脂肪,mg
天門冬胺酸(Asp),mg
廿二碳五烯酸(22:5),mg
廿二碳六烯酸(22:6),mg
廿四酸(24:0),mg
廿碳五烯酸(20:5),mg
月桂酸(12:0),mg
水分,g
水解胺基酸總量,mg
丙胺酸(Ala),mg
